series_id,provider,model,model_family,model_family_id,archetype,archetype_id,prompt_language,setting,n_requested,n_success,literal_unique_count,literal_unique_share,semantic_valid_rate,plot_literal_unique_count,plot_semantic_valid_rate
0100-anthropic-sonnet46-roundtrip-de-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet,3,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,30,0.3,1.0,29.56,0.963
0102-anthropic-sonnet46-roundtrip-it-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet,3,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,IT,baseline,100,100,46,0.46,1.0,45.63,0.986
0103-anthropic-sonnet46-roundtrip-fr-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet,3,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,FR,baseline,100,100,7,0.07,1.0,6.665,0.9975
0104-anthropic-sonnet46-roundtrip-en-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet,3,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,EN,baseline,100,100,34,0.34,1.0,33.7,0.9895
0105-anthropic-sonnet46-factual-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet,3,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,2,DE,baseline,100,100,4,0.04,1.0,3.815,1.0070000000000001
0106-anthropic-sonnet46-literal-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet,3,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,3,DE,baseline,100,100,1,0.01,1.0,0.3700000000000001,1.0245
0107-anthropic-sonnet46-creative-baseline,ANTHROPIC,claude-sonnet-4-6,claude-sonnet,3,CREATIVE_GENERATIVE_LUCERNE_MARKETING,4,DE,baseline,100,100,24,0.24,1.0,24.045,1.042
0200-google-gemini35flash-roundtrip-de-baseline,GOOGLE,gemini-3.5-flash,gemini-flash,4,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,1,0.01,1.0,1.0550000000000002,0.9695
0204-google-gemini35flash-roundtrip-it-baseline,GOOGLE,gemini-3.5-flash,gemini-flash,4,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,IT,baseline,100,100,1,0.01,1.0,0.355,1.0154999999999998
0205-google-gemini35flash-roundtrip-fr-baseline,GOOGLE,gemini-3.5-flash,gemini-flash,4,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,FR,baseline,100,100,1,0.01,1.0,0.6699999999999999,1.027
0206-google-gemini35flash-roundtrip-en-baseline,GOOGLE,gemini-3.5-flash,gemini-flash,4,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,EN,baseline,100,100,1,0.01,1.0,0.985,1.0385
0207-google-gemini35flash-factual-baseline,GOOGLE,gemini-3.5-flash,gemini-flash,4,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,2,DE,baseline,100,100,1,0.01,1.0,1.3800000000000001,0.966
0208-google-gemini35flash-literal-baseline,GOOGLE,gemini-3.5-flash,gemini-flash,4,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,3,DE,baseline,100,100,1,0.01,1.0,1.7750000000000001,0.9639999999999999
0209-google-gemini35flash-creative-baseline,GOOGLE,gemini-3.5-flash,gemini-flash,4,CREATIVE_GENERATIVE_LUCERNE_MARKETING,4,DE,baseline,100,100,1,0.01,1.0,1.7850000000000001,0.9814999999999998
0000-openai-gpt4o-20240513-roundtrip-de-baseline,OPENAI,gpt-4o-2024-05-13,gpt-4o,1,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,25,0.25,1.0,24.165,0.9345
0002-openai-gpt4o-20240806-roundtrip-de-baseline,OPENAI,gpt-4o-2024-08-06,gpt-4o,1,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,12,0.12,1.0,11.235000000000001,0.9575
0003-openai-gpt4o-20241120-roundtrip-de-baseline,OPENAI,gpt-4o-2024-11-20,gpt-4o,1,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,13,0.13,1.0,12.270000000000001,0.9690000000000001
0004-openai-gpt54mini-roundtrip-de-baseline,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,2,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,84,0.84,1.0,83.485,0.983
0006-openai-gpt54mini-roundtrip-it-baseline,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,2,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,IT,baseline,100,100,99,0.99,1.0,98.55499999999999,1.006
0007-openai-gpt54mini-roundtrip-fr-baseline,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,2,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,FR,baseline,100,100,96,0.96,1.0,95.58999999999999,1.0174999999999998
0008-openai-gpt54mini-roundtrip-en-baseline,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,2,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,EN,baseline,100,100,48,0.48,1.0,47.625,1.029
0018-openai-gpt54mini-factual-baseline,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,2,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,2,DE,baseline,100,100,2,0.02,1.0,1.9500000000000002,0.9505
0019-openai-gpt54mini-literal-baseline,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,2,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,3,DE,baseline,100,100,1,0.01,1.0,1.3450000000000002,0.968
0020-openai-gpt54mini-creative-baseline,OPENAI,gpt-5.4-mini-2026-03-17,gpt-5.4-mini,2,CREATIVE_GENERATIVE_LUCERNE_MARKETING,4,DE,baseline,100,100,45,0.45,1.0,44.9,0.9855
0500-lmstudio-gptoss20b-roundtrip-de-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,7,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,1,DE,baseline,100,100,2,0.02,1.0,2.42,1.0085
