dataset,provider,model,model_version,prompt_language,plan_name,bfs_language_region,bfs_language_region_label,destinations_in_model_region,series_station_mention_count,expected_count,observed_count,expected_probability,observed_probability,delta_count,delta_probability,observed_expected_ratio,direction
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,DE,0100-anthropic-sonnet46-roundtrip-de-baseline,D,German,BERN|DAVOS|INTERLAKEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,335.5,400,0.671,0.8,64.5,0.129,1.1922503725782414,OVER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,DE,0100-anthropic-sonnet46-roundtrip-de-baseline,F,French,GENEVE|GRUYERES|LAUSANNE,500,144.5,100,0.289,0.2,-44.5,-0.08899999999999997,0.6920415224913494,UNDER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,DE,0100-anthropic-sonnet46-roundtrip-de-baseline,I,Italian,LUGANO,500,20.0,0,0.04,0.0,-20.0,-0.04,0.0,UNDER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,DE,0100-anthropic-sonnet46-roundtrip-de-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,EN,0104-anthropic-sonnet46-roundtrip-en-baseline,D,German,BERN|DAVOS|INTERLAKEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,335.5,346,0.671,0.692,10.5,0.020999999999999908,1.0312965722801788,OVER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,EN,0104-anthropic-sonnet46-roundtrip-en-baseline,F,French,GENEVE|GRUYERES|LAUSANNE,500,144.5,154,0.289,0.308,9.5,0.019000000000000017,1.065743944636678,OVER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,EN,0104-anthropic-sonnet46-roundtrip-en-baseline,I,Italian,LUGANO,500,20.0,0,0.04,0.0,-20.0,-0.04,0.0,UNDER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,EN,0104-anthropic-sonnet46-roundtrip-en-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,FR,0103-anthropic-sonnet46-roundtrip-fr-baseline,D,German,BERN|DAVOS|INTERLAKEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,335.5,369,0.671,0.738,33.5,0.06699999999999995,1.0998509687034277,OVER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,FR,0103-anthropic-sonnet46-roundtrip-fr-baseline,F,French,GENEVE|GRUYERES|LAUSANNE,500,144.5,131,0.289,0.262,-13.5,-0.02699999999999997,0.9065743944636678,UNDER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,FR,0103-anthropic-sonnet46-roundtrip-fr-baseline,I,Italian,LUGANO,500,20.0,0,0.04,0.0,-20.0,-0.04,0.0,UNDER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,FR,0103-anthropic-sonnet46-roundtrip-fr-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,IT,0102-anthropic-sonnet46-roundtrip-it-baseline,D,German,BERN|DAVOS|INTERLAKEN|LUCERNE|ST_MORITZ|ZERMATT|ZURICH,500,335.5,227,0.671,0.454,-108.5,-0.21700000000000003,0.676602086438152,UNDER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,IT,0102-anthropic-sonnet46-roundtrip-it-baseline,F,French,GENEVE|GRUYERES|LAUSANNE,500,144.5,193,0.289,0.386,48.5,0.09700000000000003,1.3356401384083045,OVER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,IT,0102-anthropic-sonnet46-roundtrip-it-baseline,I,Italian,LUGANO,500,20.0,80,0.04,0.16,60.0,0.12,4.0,OVER
main_100_iterations,ANTHROPIC,claude-sonnet-4-6,claude-sonnet-4-6,IT,0102-anthropic-sonnet46-roundtrip-it-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,DE,0200-google-gemini35flash-roundtrip-de-baseline,D,German,GRINDELWALD|INTERLAKEN|LUCERNE|SCHAFFHAUSEN|ZERMATT|ZURICH,500,400.0,400,0.8,0.8,0.0,0.0,1.0,AS_EXPECTED
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,DE,0200-google-gemini35flash-roundtrip-de-baseline,F,French,GENEVE,500,50.0,0,0.1,0.0,-50.0,-0.1,0.0,UNDER
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,DE,0200-google-gemini35flash-roundtrip-de-baseline,I,Italian,LUGANO,500,50.0,100,0.1,0.2,50.0,0.1,2.0,OVER
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,DE,0200-google-gemini35flash-roundtrip-de-baseline,R,Romansh,,500,0.0,0,0.0,0.0,0.0,0.0,,AS_EXPECTED
main_100_iterations,GOOGLE,gemini-3.5-flash,gemini-3.5-flash,EN,0206-google-gemini35flash-roundtrip-en-baseline,D,German,GRINDELWALD|INTERLAKEN|LUCERNE|SCHAFFHAUSEN|ZERMATT|ZURICH,500,400.0,400,0.8,0.8,0.0,0.0,1.0,AS_EXPECTED
