model,route_key,route_stations,mention_count,model_route_count,share_of_model_routes,contributing_series_count
claude-sonnet-4-6,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|GENEVE,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|GENEVE,227,500,0.454,5
claude-sonnet-4-6,GENEVE|GRUYERES|BERN|LUCERNE|LUGANO,GENEVE|GRUYERES|BERN|LUCERNE|LUGANO,79,500,0.158,5
claude-sonnet-4-6,GENEVE|LAUSANNE|BERN|LUCERNE|ZURICH,GENEVE|LAUSANNE|BERN|LUCERNE|ZURICH,76,500,0.152,5
claude-sonnet-4-6,GENEVE|INTERLAKEN|BERN|LUCERNE|ZURICH,GENEVE|INTERLAKEN|BERN|LUCERNE|ZURICH,37,500,0.074,5
claude-sonnet-4-6,GENEVE|INTERLAKEN|LUCERNE|ZURICH|ST_MORITZ,GENEVE|INTERLAKEN|LUCERNE|ZURICH|ST_MORITZ,32,500,0.064,5
claude-sonnet-4-6,GENEVE|LAUSANNE|INTERLAKEN|LUCERNE|ZURICH,GENEVE|LAUSANNE|INTERLAKEN|LUCERNE|ZURICH,21,500,0.042,5
claude-sonnet-4-6,GENEVE|ZERMATT|BERN|LUCERNE|ZURICH,GENEVE|ZERMATT|BERN|LUCERNE|ZURICH,9,500,0.018,5
claude-sonnet-4-6,GENEVE|BERN|LUCERNE|ZURICH|ST_MORITZ,GENEVE|BERN|LUCERNE|ZURICH|ST_MORITZ,5,500,0.01,5
claude-sonnet-4-6,GENEVE|ZERMATT|INTERLAKEN|LUCERNE|ZURICH,GENEVE|ZERMATT|INTERLAKEN|LUCERNE|ZURICH,3,500,0.006,5
claude-sonnet-4-6,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LUGANO,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LUGANO,3,500,0.006,5
claude-sonnet-4-6,GENEVE|GRUYERES|BERN|LUCERNE|ZERMATT,GENEVE|GRUYERES|BERN|LUCERNE|ZERMATT,2,500,0.004,5
claude-sonnet-4-6,GENEVE|ZERMATT|LUCERNE|ZURICH|ST_GALLEN,GENEVE|ZERMATT|LUCERNE|ZURICH|ST_GALLEN,2,500,0.004,5
claude-sonnet-4-6,GENEVE|BERN|LUCERNE|INTERLAKEN|ZURICH,GENEVE|BERN|LUCERNE|INTERLAKEN|ZURICH,1,500,0.002,5
claude-sonnet-4-6,GENEVE|BERN|LUCERNE|LUGANO|DAVOS,GENEVE|BERN|LUCERNE|LUGANO|DAVOS,1,500,0.002,5
claude-sonnet-4-6,GENEVE|BERN|LUCERNE|ZERMATT|ZURICH,GENEVE|BERN|LUCERNE|ZERMATT|ZURICH,1,500,0.002,5
claude-sonnet-4-6,ZURICH|LUCERNE|ZERMATT|GENEVE|BERN,ZURICH|LUCERNE|ZERMATT|GENEVE|BERN,1,500,0.002,5
gemini-3.5-flash,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LUGANO,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LUGANO,306,700,0.43714285714285717,7
gemini-3.5-flash,GENEVE|ZERMATT|INTERLAKEN|LUCERNE|ZURICH,GENEVE|ZERMATT|INTERLAKEN|LUCERNE|ZURICH,200,700,0.2857142857142857,7
gemini-3.5-flash,SCHAFFHAUSEN|LUCERNE|GRINDELWALD|ZERMATT|LUGANO,SCHAFFHAUSEN|LUCERNE|GRINDELWALD|ZERMATT|LUGANO,100,700,0.14285714285714285,7
gemini-3.5-flash,ZURICH|LUCERNE|ZERMATT|MONTREUX|BERN,ZURICH|LUCERNE|ZERMATT|MONTREUX|BERN,67,700,0.09571428571428571,7
gemini-3.5-flash,ZURICH|ZERMATT|MONTREUX|INTERLAKEN|LUCERNE,ZURICH|ZERMATT|MONTREUX|INTERLAKEN|LUCERNE,13,700,0.018571428571428572,7
gemini-3.5-flash,ZURICH|LUCERNE|GRINDELWALD|ZERMATT|LUGANO,ZURICH|LUCERNE|GRINDELWALD|ZERMATT|LUGANO,6,700,0.008571428571428572,7
gemini-3.5-flash,ZURICH|CHUR|LUGANO|ZERMATT|LUCERNE,ZURICH|CHUR|LUGANO|ZERMATT|LUCERNE,5,700,0.007142857142857143,7
gemini-3.5-flash,ZURICH|ST_MORITZ|LUGANO|ZERMATT|LUCERNE,ZURICH|ST_MORITZ|LUGANO|ZERMATT|LUCERNE,3,700,0.004285714285714286,7
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|GENEVE,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|GENEVE,412,775,0.5316129032258065,8
gpt-5.4-mini-2026-03-17,GENEVE|LAUSANNE|BERN|LUCERNE|ZURICH,GENEVE|LAUSANNE|BERN|LUCERNE|ZURICH,84,775,0.10838709677419354,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|BERN|GENEVE,ZURICH|LUCERNE|INTERLAKEN|BERN|GENEVE,78,775,0.10064516129032258,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LUGANO,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LUGANO,34,775,0.04387096774193548,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|MONTREUX,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|MONTREUX,23,775,0.02967741935483871,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LAUSANNE,ZURICH|LUCERNE|INTERLAKEN|ZERMATT|LAUSANNE,22,775,0.02838709677419355,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|LUGANO,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|LUGANO,21,775,0.027096774193548386,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|GENEVE,ZURICH|LUCERNE|INTERLAKEN|MONTREUX|GENEVE,20,775,0.025806451612903226,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|LUGANO|GENEVE,ZURICH|LUCERNE|INTERLAKEN|LUGANO|GENEVE,19,775,0.024516129032258065,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|LAUSANNE|GENEVE,ZURICH|LUCERNE|INTERLAKEN|LAUSANNE|GENEVE,18,775,0.023225806451612905,8
gpt-5.4-mini-2026-03-17,ZURICH|LUCERNE|INTERLAKEN|LAUSANNE|LUGANO,ZURICH|LUCERNE|INTERLAKEN|LAUSANNE|LUGANO,12,775,0.015483870967741935,8
gpt-5.4-mini-2026-03-17,GENEVE|LAUSANNE|BERN|LUCERNE|ZERMATT,GENEVE|LAUSANNE|BERN|LUCERNE|ZERMATT,8,775,0.01032258064516129,8
