model,destination,mention_count,model_station_mention_count,share_of_model_station_mentions,percentage_of_model_station_mentions,contributing_series_count
claude-sonnet-4-6,BASEL,0,2500,0.0,00.00,5
claude-sonnet-4-6,BERN,212,2500,0.0848,08.48,5
claude-sonnet-4-6,CHUR,0,2500,0.0,00.00,5
claude-sonnet-4-6,DAVOS,1,2500,4.0E-4,00.04,5
claude-sonnet-4-6,GENEVE,497,2500,0.1988,19.88,5
claude-sonnet-4-6,GRINDELWALD,0,2500,0.0,00.00,5
claude-sonnet-4-6,GRUYERES,81,2500,0.0324,03.24,5
claude-sonnet-4-6,INTERLAKEN,324,2500,0.1296,12.96,5
claude-sonnet-4-6,LAUSANNE,97,2500,0.0388,03.88,5
claude-sonnet-4-6,LAUTERBRUNNEN,0,2500,0.0,00.00,5
claude-sonnet-4-6,LUCERNE,500,2500,0.2,20.00,5
claude-sonnet-4-6,LUGANO,83,2500,0.0332,03.32,5
claude-sonnet-4-6,MONTREUX,0,2500,0.0,00.00,5
claude-sonnet-4-6,SCHAFFHAUSEN,0,2500,0.0,00.00,5
claude-sonnet-4-6,ST_GALLEN,2,2500,8.0E-4,00.08,5
claude-sonnet-4-6,ST_MORITZ,37,2500,0.0148,01.48,5
claude-sonnet-4-6,ZERMATT,248,2500,0.0992,09.92,5
claude-sonnet-4-6,ZURICH,418,2500,0.1672,16.72,5
gemini-3.5-flash,BASEL,0,3500,0.0,00.00,7
gemini-3.5-flash,BERN,67,3500,0.019142857142857142,01.91,7
gemini-3.5-flash,CHUR,5,3500,0.0014285714285714286,00.14,7
gemini-3.5-flash,DAVOS,0,3500,0.0,00.00,7
gemini-3.5-flash,GENEVE,200,3500,0.05714285714285714,05.71,7
gemini-3.5-flash,GRINDELWALD,106,3500,0.030285714285714287,03.03,7
gemini-3.5-flash,GRUYERES,0,3500,0.0,00.00,7
gemini-3.5-flash,INTERLAKEN,519,3500,0.1482857142857143,14.83,7
gemini-3.5-flash,LAUSANNE,0,3500,0.0,00.00,7
gemini-3.5-flash,LAUTERBRUNNEN,0,3500,0.0,00.00,7
gemini-3.5-flash,LUCERNE,700,3500,0.2,20.00,7
gemini-3.5-flash,LUGANO,420,3500,0.12,12.00,7
gemini-3.5-flash,MONTREUX,80,3500,0.022857142857142857,02.29,7
gemini-3.5-flash,SCHAFFHAUSEN,100,3500,0.02857142857142857,02.86,7
gemini-3.5-flash,ST_GALLEN,0,3500,0.0,00.00,7
gemini-3.5-flash,ST_MORITZ,3,3500,8.571428571428571E-4,00.09,7
gemini-3.5-flash,ZERMATT,700,3500,0.2,20.00,7
gemini-3.5-flash,ZURICH,600,3500,0.17142857142857143,17.14,7
gpt-5.4-mini-2026-03-17,BASEL,5,3875,0.0012903225806451613,00.13,8
gpt-5.4-mini-2026-03-17,BERN,175,3875,0.04516129032258064,04.52,8
gpt-5.4-mini-2026-03-17,CHUR,0,3875,0.0,00.00,8
gpt-5.4-mini-2026-03-17,DAVOS,0,3875,0.0,00.00,8
gpt-5.4-mini-2026-03-17,GENEVE,646,3875,0.16670967741935483,16.67,8
gpt-5.4-mini-2026-03-17,GRINDELWALD,0,3875,0.0,00.00,8
gpt-5.4-mini-2026-03-17,GRUYERES,0,3875,0.0,00.00,8
gpt-5.4-mini-2026-03-17,INTERLAKEN,681,3875,0.17574193548387096,17.57,8
gpt-5.4-mini-2026-03-17,LAUSANNE,152,3875,0.0392258064516129,03.92,8
gpt-5.4-mini-2026-03-17,LAUTERBRUNNEN,0,3875,0.0,00.00,8
gpt-5.4-mini-2026-03-17,LUCERNE,775,3875,0.2,20.00,8
gpt-5.4-mini-2026-03-17,LUGANO,91,3875,0.023483870967741936,02.35,8
gpt-5.4-mini-2026-03-17,MONTREUX,75,3875,0.01935483870967742,01.94,8
gpt-5.4-mini-2026-03-17,SCHAFFHAUSEN,0,3875,0.0,00.00,8
gpt-5.4-mini-2026-03-17,ST_GALLEN,0,3875,0.0,00.00,8
gpt-5.4-mini-2026-03-17,ST_MORITZ,0,3875,0.0,00.00,8
gpt-5.4-mini-2026-03-17,ZERMATT,512,3875,0.13212903225806452,13.21,8
gpt-5.4-mini-2026-03-17,ZURICH,763,3875,0.19690322580645161,19.69,8
openai/gpt-oss-20b,BASEL,299,2505,0.11936127744510978,11.94,7
openai/gpt-oss-20b,BERN,99,2505,0.03952095808383234,03.95,7
openai/gpt-oss-20b,CHUR,0,2505,0.0,00.00,7
openai/gpt-oss-20b,DAVOS,0,2505,0.0,00.00,7
openai/gpt-oss-20b,GENEVE,101,2505,0.04031936127744511,04.03,7
openai/gpt-oss-20b,GRINDELWALD,0,2505,0.0,00.00,7
openai/gpt-oss-20b,GRUYERES,0,2505,0.0,00.00,7
openai/gpt-oss-20b,INTERLAKEN,501,2505,0.2,20.00,7
openai/gpt-oss-20b,LAUSANNE,100,2505,0.03992015968063872,03.99,7
openai/gpt-oss-20b,LAUTERBRUNNEN,0,2505,0.0,00.00,7
openai/gpt-oss-20b,LUCERNE,501,2505,0.2,20.00,7
openai/gpt-oss-20b,LUGANO,0,2505,0.0,00.00,7
openai/gpt-oss-20b,MONTREUX,0,2505,0.0,00.00,7
openai/gpt-oss-20b,SCHAFFHAUSEN,0,2505,0.0,00.00,7
openai/gpt-oss-20b,ST_GALLEN,0,2505,0.0,00.00,7
openai/gpt-oss-20b,ST_MORITZ,1,2505,3.992015968063872E-4,00.04,7
openai/gpt-oss-20b,ZERMATT,402,2505,0.16047904191616766,16.05,7
openai/gpt-oss-20b,ZURICH,501,2505,0.2,20.00,7
qwen/qwen3.5-9b,BASEL,135,2500,0.054,05.40,6
qwen/qwen3.5-9b,BERN,4,2500,0.0016,00.16,6
qwen/qwen3.5-9b,CHUR,1,2500,4.0E-4,00.04,6
qwen/qwen3.5-9b,DAVOS,0,2500,0.0,00.00,6
qwen/qwen3.5-9b,GENEVE,466,2500,0.1864,18.64,6
qwen/qwen3.5-9b,GRINDELWALD,104,2500,0.0416,04.16,6
qwen/qwen3.5-9b,GRUYERES,0,2500,0.0,00.00,6
qwen/qwen3.5-9b,INTERLAKEN,500,2500,0.2,20.00,6
qwen/qwen3.5-9b,LAUSANNE,0,2500,0.0,00.00,6
qwen/qwen3.5-9b,LAUTERBRUNNEN,0,2500,0.0,00.00,6
qwen/qwen3.5-9b,LUCERNE,500,2500,0.2,20.00,6
qwen/qwen3.5-9b,LUGANO,0,2500,0.0,00.00,6
qwen/qwen3.5-9b,MONTREUX,100,2500,0.04,04.00,6
qwen/qwen3.5-9b,SCHAFFHAUSEN,0,2500,0.0,00.00,6
qwen/qwen3.5-9b,ST_GALLEN,0,2500,0.0,00.00,6
qwen/qwen3.5-9b,ST_MORITZ,1,2500,4.0E-4,00.04,6
qwen/qwen3.5-9b,ZERMATT,389,2500,0.1556,15.56,6
qwen/qwen3.5-9b,ZURICH,300,2500,0.12,12.00,6
swiss-ai_apertus-8b-instruct-2509,BASEL,100,1985,0.05037783375314862,05.04,5
swiss-ai_apertus-8b-instruct-2509,BERN,297,1985,0.14962216624685137,14.96,5
swiss-ai_apertus-8b-instruct-2509,CHUR,23,1985,0.011586901763224182,01.16,5
swiss-ai_apertus-8b-instruct-2509,DAVOS,0,1985,0.0,00.00,5
swiss-ai_apertus-8b-instruct-2509,GENEVE,127,1985,0.06397984886649874,06.40,5
swiss-ai_apertus-8b-instruct-2509,GRINDELWALD,0,1985,0.0,00.00,5
swiss-ai_apertus-8b-instruct-2509,GRUYERES,0,1985,0.0,00.00,5
swiss-ai_apertus-8b-instruct-2509,INTERLAKEN,54,1985,0.027204030226700253,02.72,5
swiss-ai_apertus-8b-instruct-2509,LAUSANNE,200,1985,0.10075566750629723,10.08,5
swiss-ai_apertus-8b-instruct-2509,LAUTERBRUNNEN,124,1985,0.062468513853904284,06.25,5
swiss-ai_apertus-8b-instruct-2509,LUCERNE,397,1985,0.2,20.00,5
swiss-ai_apertus-8b-instruct-2509,LUGANO,0,1985,0.0,00.00,5
swiss-ai_apertus-8b-instruct-2509,MONTREUX,0,1985,0.0,00.00,5
swiss-ai_apertus-8b-instruct-2509,SCHAFFHAUSEN,0,1985,0.0,00.00,5
swiss-ai_apertus-8b-instruct-2509,ST_GALLEN,0,1985,0.0,00.00,5
swiss-ai_apertus-8b-instruct-2509,ST_MORITZ,266,1985,0.1340050377833753,13.40,5
swiss-ai_apertus-8b-instruct-2509,ZERMATT,221,1985,0.11133501259445844,11.13,5
swiss-ai_apertus-8b-instruct-2509,ZURICH,176,1985,0.08866498740554156,08.87,5
